Mayus;ValMd;ValSd;Minus;AroMd;AroSd
ABOCHORNADO;3,1091;1,4421;Abochornado;4,4455;2,265
ABURRIDO;3,5182;1,5839;Aburrido;3,9727;2,1565
ACUSANTE;2,9545;1,5992;Acusante;5,6273;2,2822
ADULADOR;3,7545;1,6765;Adulador;4,6636;1,7149
AGRADECIDO;8,0909;1,2529;Agradecido;5,5091;2,6187
ALARMADO;4,0273;1,5293;Alarmado;6,3182;2,2048
ALEGRE;8,1091;1,2514;Alegre;6,3182;2,3809
ALENTADOR;7,5273;1,4123;Alentador;6,1364;2,118
ALIVIADO;7,3182;1,4958;Aliviado;3,6091;2,3466
AMENAZANTE;2,1727;1,2624;Amenazante;5,5182;2,5368
ANSIOSO;4,0364;2,1156;Ansioso;6,4091;2,3356
APENADO;3,5455;1,6953;Apenado;4,0455;2,1647
ARREPENTIDO;5,1364;2,0068;Arrepentido;4,7818;2,1605
ARROGANTE;2,2364;1,5676;Arrogante;4,9364;2,3434
ATERRADO;2,5273;1,5127;Aterrado;5,2091;2,723
AVERGONZADO;3,4909;1,6741;Avergonzado;4,3636;2,1956
CARINIOSO;7,7727;1,1467;Cariñoso;5,7727;2,4143
CAUTELOSO;5,9364;1,5161;Cauteloso;4,4455;1,928
CELOSO;2,4818;1,7595;Celoso;5,5636;2,5143
CHISTOSO;7,1182;1,4382;Chistoso;6,1273;2,0946
COMPASIVO;7,0909;1,6675;Compasivo;4,8182;2,3702
COMPRENSIVO;7,8545;1,333;Comprensivo;5,0182;2,4193
CONFIADO;6,4636;1,5003;Confiado;4,9909;2,4401
CONFUNDIDO;3,9273;1,3252;Confundido;4,7636;1,822
CONMOCIONADO;4,8;1,7442;Conmocionado;5,2545;2,1264
CONTEMPLATIVO;6,5727;1,6054;Contemplativo;4,0909;2,2115
CONVENCIDO ;6,5273;1,4944;Convencido;5,6182;2,4976
COQUETEADOR;5,4818;1,6183;Coqueteador;5,4727;1,8657
CULPABLE;2,9273;1,8057;Culpable;5,1636;2,3482
CURIOSO;7,1364;1,6394;Curioso;6,3545;1,87
DEPRIMIDO;2,2;1,6244;Deprimido;3,6909;2,5187
DESAFIANTE;4,5273;1,8998;Desafiante;5,9182;2,0859
DESANIMADO;2,5818;1,3572;Desanimado;3,5818;2,2438
DESCONCERTADO;3,7909;1,6484;Desconcertado;4,6545;1,9177
DESCONFIADO;3,8636;1,493;Desconfiado;5,2818;1,9822
DESEOSO ;6,5;1,7492;Deseoso;6,2909;2,0825
DESILUSIONADO;3,1;1,6195;Desilusionado;4,1909;2,1482
DIVERTIDO;7,9636;1,2774;Divertido;6,6091;2,1804
DOMINANTE;3,6636;2,0195;Dominante;5,5727;2,2153
DUBITATIVO;4,2727;1,3741;Dubitativo;4,7455;1,9509
ENSIMISMADO;3,9636;1,6194;Ensimismado;4,5091;2,0576
ESCEPTICO;4,8091;1,6617;Escéptico;4,6364;1,712
EXCITADO;5,4364;1,748;Excitado;6,8636;2,182
EXPECTANTE;5,6;1,4025;Expectante;5,7182;1,6486
HORRORIZADO;2,8091;1,6395;Horrorizado;5,1727;2,6814
HOSTIL;2,4727;1,775;Hostil;5,1455;2,5336
IMPACIENTE;3,5636;1,7162;Impaciente;6,3182;2,2214
IMPLORANTE;3,7364;1,7117;Implorante;5,1909;1,9559
INCOMODO;3,2636;1,6737;Incómodo;5,1909;2,2524
INCREDULO;3,9182;1,3622;Incrédulo;4,4;1,7981
INDECISO;3,6545;1,6052;Indeciso;5,1545;2,0191
INDIFERENTE;3,4364;1,5357;Indiferente;3,5182;1,8805
INSISTENTE;4,5909;1,9171;Insistente;6,1636;2,1311
INTERESADO ;5,6909;2,3647;Interesado;5,9;2,133
INTRANQUILO;3,2182;1,3905;Intranquilo;5,8909;2,3397
IRRITADO;2,6545;1,6724;Irritado;5,9818;2,5701
MOLESTO;3,0091;1,8299;Molesto;6,0455;2,1176
NERVIOSO;3,5909;1,7468;Nervioso;6,1727;2,3883
ODIOSO;2,0727;1,4882;Odioso;5,4909;2,4523
PENSATIVO;6,6545;1,3507;Pensativo;4,4455;2,1485
PREOCUPADO;4,3364;1,6383;Preocupado;5,7182;2,0234
REFLEXIVO;7,1909;1,5592;Reflexivo;4,4909;2,1662
RELAJADO;6,9818;1,4961;Relajado;3,4091;2,3512
RESUELTO;6,9545;1,6611;Resuelto;5,1545;2,5167
SARCASTICO;4,5273;1,7698;Sarcástico;5,4364;1,9561
SATISFECHO;7,0545;1,4952;Satisfecho;5,1;2,4343
SERIO;5,0636;1,3766;Serio;4,1455;1,7072
SIMPATICO;7,9;1,313;Simpático;5,8636;2,1309
SONIADOR ;7,3364;1,3766;Soñador;6,2818;2,2181
SUSPICAZ;5,3091;1,77;Suspicaz;5,0364;1,6806
TIMIDO;4,2727;1,6136;Tímido;3,8364;2,144
TRANQUILIZADOR;7,4;1,5035;Tranquilizador;3,9909;2,4551
